epoch,train_loss,val_loss,train_acc,val_acc,val_f1,train_mae,val_mae
1,503.27723012071976,467.474609375,0.5797872340425532,0.7142857142857143,0.2777777777777778,21.976790919880123,20.832370230129786
2,369.2672349645736,287.4541800362723,0.5425531914893617,0.17857142857142858,0.10101010101010101,18.621333737956718,16.1132071018219
3,125.95778290768887,60.674346923828125,0.35106382978723405,0.39285714285714285,0.27204301075268816,9.898417089847808,6.601856844765799
4,32.51406202925013,42.94289343697684,0.5159574468085106,0.17857142857142858,0.10101010101010101,4.2344683738465,4.9086166109357565
5,24.754084242151137,41.05585806710379,0.35106382978723405,0.4642857142857143,0.2549707602339181,3.813131956343955,4.745135579790388
6,22.505827031237015,33.92209325517927,0.3829787234042553,0.35714285714285715,0.25182863113897597,3.591391127160255,4.0707670620509555
7,25.250369396615536,39.77581569126674,0.4308510638297872,0.32142857142857145,0.4018759018759019,3.899470664085226,4.2846262114388605
8,22.978931427001953,34.42816380092076,0.4734042553191489,0.25,0.3333333333333333,3.5709417728667563,4.190113748822894
9,20.000470222310817,30.679818834577286,0.5,0.7142857142857143,0.2777777777777778,3.350093445879348,4.071867738451276
10,19.940148333285716,35.93739700317383,0.4521276595744681,0.5357142857142857,0.34121621621621623,3.403970677801903,4.841235228947231
11,19.898104728536403,31.402529580252512,0.44148936170212766,0.42857142857142855,0.29276315789473684,3.4614290480918073,4.08388614654541
12,20.616543465472283,34.72049331665039,0.3776595744680851,0.25,0.3333333333333333,3.402538634361105,4.531115327562604
13,22.35392777463223,31.37417193821498,0.3351063829787234,0.17857142857142858,0.10101010101010101,3.655066576409847,4.156002180916922
14,23.4828847114076,31.212826047624862,0.48404255319148937,0.7142857142857143,0.2777777777777778,3.5614322855117475,4.294294016701834
15,18.99265167560983,37.292676653180806,0.4787234042553192,0.75,0.5290697674418605,3.292035001389524,4.754747799464634
16,22.560882162540516,35.56504004342215,0.4308510638297872,0.25,0.3333333333333333,3.660172168244707,4.538000447409494
17,18.287115705774184,35.554090772356304,0.3670212765957447,0.25,0.3333333333333333,3.2373801190802394,4.56437485558646
18,19.626735565510202,32.504547936575754,0.425531914893617,0.25,0.3333333333333333,3.4937563957052027,4.304186412266323
19,19.864605193442486,30.169289180210658,0.3617021276595745,0.21428571428571427,0.24086021505376345,3.3365029984332146,4.027621473584857
20,20.217639598440616,35.47351837158203,0.4521276595744681,0.35714285714285715,0.2523809523809524,3.57483245971355,4.465735707964216
21,19.277015401961954,34.160496847970144,0.43617021276595747,0.39285714285714285,0.2768199233716475,3.4109726155057865,4.414474896022251
22,19.64962886242156,31.145021438598633,0.4734042553191489,0.6785714285714286,0.2695035460992908,3.441792701153045,4.076199667794364
23,18.931032586604992,30.990467616489955,0.46808510638297873,0.7142857142857143,0.5513227513227513,3.2873186862215085,4.102705206189837
24,22.622896316203665,32.07597024100168,0.44148936170212766,0.6071428571428571,0.5104247104247105,3.645334101737814,4.209869657244001
25,19.419317367229056,34.67383139474051,0.4734042553191489,0.6785714285714286,0.2695035460992908,3.410223585494021,4.415365968431745
