model_name,parameters,training_time_s,best_epoch,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_mae_kts,val_rmse_kts
baseline,35716,11.04,5,29.3245,0.1786,0.0595,0.3333,0.101,4.08,5.2
residual,629412,31.55,19,30.1693,0.2143,0.2308,0.4444,0.2409,4.03,5.3
