horizon,latitude_mae_deg,latitude_rmse_deg,longitude_mae_deg,longitude_rmse_deg,wind_mae_knots,wind_rmse_knots,pressure_mae_hpa,pressure_rmse_hpa
+6h,0.7211171388626099,0.9838365565686679,0.9128142595291138,1.1088196344883068,5.911590576171875,10.163511526669037,3.9287896156311035,6.115572154616468
+12h,0.8650364279747009,1.1742687445661777,0.9596766829490662,1.1868200865341398,8.140405654907227,13.151999758829453,5.754044532775879,8.468345942130934
+24h,1.231709361076355,1.6145497800560542,1.4434244632720947,1.778684274044896,12.30050277709961,18.258242065443007,8.678766250610352,12.22940699239919
+48h,2.2449817657470703,2.811006785414088,3.191580057144165,3.935012516064836,12.644173622131348,18.04688683711733,8.943870544433594,13.225486680073617
