epoch,train_loss,val_loss,train_acc,val_acc,val_bal_acc,val_f1,train_mae,val_mae
1,6.311961922464492,5.94567502339681,0.5,0.7666666666666667,0.3333333333333333,0.2893081761006289,22.43112946553981,21.62410411934058
2,5.666494550584238,4.863909943898519,0.7025316455696202,0.5333333333333333,0.27294685990338163,0.2742248062015504,20.915175976632515,19.14754920800527
3,4.199742000314254,2.5320916493733723,0.5949367088607594,0.4666666666666667,0.3671497584541063,0.30158730158730157,16.96398900128618,11.607079760233562
4,2.2306374824499784,1.2613395690917968,0.3670886075949367,0.23333333333333334,0.5434782608695653,0.2877267659876355,8.91888854473452,4.028372383117675
5,1.4453268398212482,1.2481149117151895,0.4240506329113924,0.7,0.4275362318840579,0.40952380952380957,4.192271015312098,4.640659268697103
6,1.3611853077441831,1.2246023813883464,0.5886075949367089,0.7333333333333333,0.31884057971014496,0.28205128205128205,3.9095019268084177,3.3271185557047525
7,1.323459202730203,1.3998724619547527,0.31645569620253167,0.26666666666666666,0.36231884057971014,0.20148148148148148,3.5103145671796194,4.167828623453776
8,1.2363995902145966,1.2119711875915526,0.36075949367088606,0.2,0.6111111111111112,0.19254658385093168,3.5938549283184584,3.2896635055541994
9,1.2900396796721447,1.2033105850219727,0.4050632911392405,0.3,0.4492753623188406,0.19019607843137254,3.930224346209176,3.4801670710245767
10,1.2760306144062477,1.31685791015625,0.44936708860759494,0.5666666666666667,0.3695652173913044,0.3509803921568628,3.6373607538923434,4.154249572753907
11,1.2484127690520468,1.176593001683553,0.43037974683544306,0.36666666666666664,0.6014492753623188,0.32681968569065345,3.702306294743019,3.5928545633951825
12,1.1826670562164694,1.205218760172526,0.4177215189873418,0.3333333333333333,0.30917874396135264,0.24,3.6305801536463482,3.8632519404093424
13,1.137753254250635,1.127863844235738,0.43037974683544306,0.4666666666666667,0.5217391304347826,0.2719881744271988,3.3614232872105854,3.289807891845703
14,1.2334407447259637,1.2078840891520182,0.4936708860759494,0.3,0.4492753623188406,0.19494949494949496,3.8833242247376263,3.271604474385579
15,1.257009964955004,1.2002455155054728,0.35443037974683544,0.5,0.7004830917874396,0.4316674038036267,3.540155875531933,4.156090863545736
16,1.1424536810645574,1.068448837598165,0.3987341772151899,0.3333333333333333,0.6690821256038647,0.3142397055440534,3.753361581247064,3.5914684295654298
17,1.1556724098664295,1.1761394739151,0.4810126582278481,0.5666666666666667,0.24637681159420288,0.24113475177304966,3.467917575111872,4.283665657043457
18,1.1524991129018083,1.1638856093088785,0.46835443037974683,0.43333333333333335,0.5893719806763285,0.3682539682539683,3.7099938332280025,3.419226964314779
19,1.0960699033133592,1.039564879735311,0.4430379746835443,0.4666666666666667,0.7270531400966184,0.41278375149342894,3.6157166324084318,3.7549680709838866
20,1.148545754106739,1.0118664582570394,0.4810126582278481,0.4666666666666667,0.6038647342995169,0.36742896742896747,3.2675568423693693,3.5333210627237954
21,1.039227069178714,1.7636005957921346,0.4810126582278481,0.3,0.21256038647342992,0.19058823529411764,3.439746337600901,4.842979812622071
22,1.029569174669966,1.4478963692982991,0.47468354430379744,0.36666666666666664,0.47826086956521735,0.2230576441102757,3.7048091164118127,4.5591527938842775
23,1.0821776691871354,1.8361223856608073,0.44936708860759494,0.4,0.49275362318840576,0.24074074074074078,3.282228469848633,4.153320566813151
24,1.131470553482635,1.703823947906494,0.5379746835443038,0.43333333333333335,0.5072463768115942,0.24957264957264957,3.874120748495754,4.753699175516764
25,1.0779292560830902,1.201916519800822,0.46835443037974683,0.4666666666666667,0.5217391304347826,0.30158730158730157,3.5493087406399884,3.6618326822916667
