epoch,train_loss,val_loss,train_acc,val_acc,val_f1,train_mae,val_mae
1,440.4539262487533,486.34490966796875,0.15425531914893617,0.10714285714285714,0.06451612903225806,20.437733318636866,21.29785196696009
2,227.02356444013878,403.8328290666853,0.06914893617021277,0.10714285714285714,0.06451612903225806,14.12394256667888,19.25728338956833
3,64.3258677137659,206.15830557686942,0.6063829787234043,0.17857142857142858,0.10101010101010101,6.561589593582965,13.449099676949638
4,25.16402816772461,35.53430448259626,0.13297872340425532,0.10714285714285714,0.06451612903225806,3.9128704172499638,4.923706940242222
5,21.2912406109749,29.3244811466762,0.5212765957446809,0.17857142857142858,0.10101010101010101,3.489227406522061,4.084196703774588
6,20.902139785441946,32.723651613507954,0.2765957446808511,0.7142857142857143,0.2777777777777778,3.4935522789650775,4.072579043252127
7,19.9305159791987,33.57592991420201,0.7659574468085106,0.7142857142857143,0.2777777777777778,3.3870202531205846,4.630097321101597
8,19.92020278281354,37.02292088099888,0.324468085106383,0.39285714285714285,0.2748171368861024,3.3304927501272648,5.037152699061802
9,20.342359380519138,37.21926934378488,0.26063829787234044,0.7142857142857143,0.2777777777777778,3.5594392330088516,4.93491438456944
10,19.202634405582508,34.658196040562224,0.7659574468085106,0.7142857142857143,0.2777777777777778,3.232465845473269,4.621349947793143
11,18.875963129895798,32.317378997802734,0.7606382978723404,0.75,0.5290697674418605,3.217992031827886,4.442170075007847
12,18.52913215312552,36.586282457624165,0.723404255319149,0.7142857142857143,0.2777777777777778,3.1878192069682667,4.322941167013986
13,19.331740359042552,36.680294036865234,0.5691489361702128,0.17857142857142858,0.10101010101010101,3.2684287821992917,4.617493561335972
14,18.30214054026502,34.0621280670166,0.324468085106383,0.5357142857142857,0.24390243902439024,3.233830380947032,4.45813935143607
15,18.169010000025974,32.9696535382952,0.6861702127659575,0.7142857142857143,0.2777777777777778,3.187391331855287,4.373747689383371
16,18.75038116536242,34.35565022059849,0.6861702127659575,0.7142857142857143,0.4920634920634921,3.224311727158567,4.26118973323277
17,18.02343141271713,34.60049383980887,0.7127659574468085,0.7142857142857143,0.2777777777777778,3.1912350756056767,4.434478010450091
18,17.52710184137872,35.244662693568635,0.7606382978723404,0.7142857142857143,0.2777777777777778,3.18379356506023,4.383912018367222
19,18.452884674072266,35.70204053606306,0.7606382978723404,0.7142857142857143,0.2777777777777778,3.180410638768622,4.45942565373012
20,18.337717462093273,34.65112522670201,0.7553191489361702,0.6785714285714286,0.2695035460992908,3.2204273305040725,4.384855883462088
21,17.91170079657372,34.583801814488005,0.7606382978723404,0.7142857142857143,0.2777777777777778,3.1430183370062648,4.340109484536307
22,17.843542342490338,34.462572370256694,0.7659574468085106,0.7142857142857143,0.2777777777777778,3.176380380671075,4.3213428769792825
23,17.99521527391799,34.12256104605539,0.7606382978723404,0.7142857142857143,0.2777777777777778,3.151354525951629,4.324194295065744
24,17.660252347905587,35.19505092075893,0.7606382978723404,0.7142857142857143,0.2777777777777778,3.1508193218961673,4.350927352905273
25,18.223619582805227,34.59943226405552,0.7659574468085106,0.7142857142857143,0.2777777777777778,3.1837586950748524,4.357217311859131
