model_name,parameters,training_time_s,best_epoch,val_loss,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_mae_kts,val_rmse_kts
baseline,35716,15.74,6,4.0318,0.7143,0.3333,0.2381,0.3333,0.2778,4.1,5.49
residual,629412,106.86,19,3.7232,0.7143,0.3333,0.2381,0.3333,0.2778,4.06,5.26
