,Low Pressure Area (< 17 kts),Depression (17-27 kts),Deep Depression (28-33 kts)
Low Pressure Area (< 17 kts),6,4,0
Depression (17-27 kts),7,17,1
Deep Depression (28-33 kts),0,2,1
