,Low Pressure Area (< 17 kts),Depression (17-27 kts),Deep Depression (28-33 kts)
Low Pressure Area (< 17 kts),0,4,0
Depression (17-27 kts),1,24,3
Deep Depression (28-33 kts),0,2,3
